date,corn_gov_stocks,corn_gov_stocks_change,corn_gov_stocks_pct_change,soybeans_gov_stocks,soybeans_gov_stocks_change,soybeans_gov_stocks_pct_change,wheat_gov_stocks,wheat_gov_stocks_change,wheat_gov_stocks_pct_change
1960-05-31,,,,,,,3044180000.0,,
1960-06-01,,,,,,,3044180000.0,,
1960-06-02,,,,,,,3044180000.0,,
1960-06-03,,,,,,,3044180000.0,,
1960-06-04,,,,,,,3044180000.0,,
1960-06-05,,,,,,,3044180000.0,,
1960-06-06,,,,,,,3044180000.0,,
1960-06-07,,,,,,,3044180000.0,,
1960-06-08,,,,,,,3044180000.0,,
1960-06-09,,,,,,,3044180000.0,,
1960-06-10,,,,,,,3044180000.0,,
1960-06-11,,,,,,,3044180000.0,,
1960-06-12,,,,,,,3044180000.0,,
1960-06-13,,,,,,,3044180000.0,,
1960-06-14,,,,,,,3044180000.0,,
1960-06-15,,,,,,,3044180000.0,,
1960-06-16,,,,,,,3044180000.0,,
1960-06-17,,,,,,,3044180000.0,,
1960-06-18,,,,,,,3044180000.0,,
1960-06-19,,,,,,,3044180000.0,,
1960-06-20,,,,,,,3044180000.0,,
1960-06-21,,,,,,,3044180000.0,,
1960-06-22,,,,,,,3044180000.0,,
1960-06-23,,,,,,,3044180000.0,,
1960-06-24,,,,,,,3044180000.0,,
1960-06-25,,,,,,,3044180000.0,,
1960-06-26,,,,,,,3044180000.0,,
1960-06-27,,,,,,,3044180000.0,,
1960-06-28,,,,,,,3044180000.0,,
1960-06-29,,,,,,,3044180000.0,,
1960-06-30,,,,,,,3044180000.0,,
1960-07-01,,,,,,,3044180000.0,,
1960-07-02,,,,,,,3044180000.0,,
1960-07-03,,,,,,,3044180000.0,,
1960-07-04,,,,,,,3044180000.0,,
1960-07-05,,,,,,,3044180000.0,,
1960-07-06,,,,,,,3044180000.0,,
1960-07-07,,,,,,,3044180000.0,,
1960-07-08,,,,,,,3044180000.0,,
1960-07-09,,,,,,,3044180000.0,,
1960-07-10,,,,,,,3044180000.0,,
1960-07-11,,,,,,,3044180000.0,,
1960-07-12,,,,,,,3044180000.0,,
1960-07-13,,,,,,,3044180000.0,,
1960-07-14,,,,,,,3044180000.0,,
1960-07-15,,,,,,,3044180000.0,,
1960-07-16,,,,,,,3044180000.0,,
1960-07-17,,,,,,,3044180000.0,,
1960-07-18,,,,,,,3044180000.0,,
1960-07-19,,,,,,,3044180000.0,,
1960-07-20,,,,,,,3044180000.0,,
1960-07-21,,,,,,,3044180000.0,,
1960-07-22,,,,,,,3044180000.0,,
1960-07-23,,,,,,,3044180000.0,,
1960-07-24,,,,,,,3044180000.0,,
1960-07-25,,,,,,,3044180000.0,,
1960-07-26,,,,,,,3044180000.0,,
1960-07-27,,,,,,,3044180000.0,,
1960-07-28,,,,,,,3044180000.0,,
1960-07-29,,,,,,,3044180000.0,,
1960-07-30,,,,,,,3044180000.0,,
1960-07-31,,,,,,,3044180000.0,,
1960-08-01,,,,,,,3044180000.0,,
1960-08-02,,,,,,,3044180000.0,,
1960-08-03,,,,,,,3044180000.0,,
1960-08-04,,,,,,,3044180000.0,,
1960-08-05,,,,,,,3044180000.0,,
1960-08-06,,,,,,,3044180000.0,,
1960-08-07,,,,,,,3044180000.0,,
1960-08-08,,,,,,,3044180000.0,,
1960-08-09,,,,,,,3044180000.0,,
1960-08-10,,,,,,,3044180000.0,,
1960-08-11,,,,,,,3044180000.0,,
1960-08-12,,,,,,,3044180000.0,,
1960-08-13,,,,,,,3044180000.0,,
1960-08-14,,,,,,,3044180000.0,,
1960-08-15,,,,,,,3044180000.0,,
1960-08-16,,,,,,,3044180000.0,,
1960-08-17,,,,,,,3044180000.0,,
1960-08-18,,,,,,,3044180000.0,,
1960-08-19,,,,,,,3044180000.0,,
1960-08-20,,,,,,,3044180000.0,,
1960-08-21,,,,,,,3044180000.0,,
1960-08-22,,,,,,,3044180000.0,,
1960-08-23,,,,,,,3044180000.0,,
1960-08-24,,,,,,,3044180000.0,,
1960-08-25,,,,,,,3044180000.0,,
1960-08-26,,,,,,,3044180000.0,,
1960-08-27,,,,,,,3044180000.0,,
1960-08-28,,,,,,,3044180000.0,,
1960-08-29,,,,,,,3044180000.0,,
1960-08-30,,,,,,,3044180000.0,,
1960-08-31,355138728.00000006,,,,,,3044180000.0,,
1960-09-01,355138728.00000006,,,,,,3044180000.0,,
1960-09-02,355138728.00000006,,,,,,3044180000.0,,
1960-09-03,355138728.00000006,,,,,,3044180000.0,,
1960-09-04,355138728.00000006,,,,,,3044180000.0,,
1960-09-05,355138728.00000006,,,,,,3044180000.0,,
1960-09-06,355138728.00000006,,,,,,3044180000.0,,
1960-09-07,355138728.00000006,,,,,,3044180000.0,,
1960-09-08,355138728.00000006,,,,,,3044180000.0,,
1960-09-09,355138728.00000006,,,,,,3044180000.0,,
1960-09-10,355138728.00000006,,,,,,3044180000.0,,
1960-09-11,355138728.00000006,,,,,,3044180000.0,,
1960-09-12,355138728.00000006,,,,,,3044180000.0,,
1960-09-13,355138728.00000006,,,,,,3044180000.0,,
1960-09-14,355138728.00000006,,,,,,3044180000.0,,
1960-09-15,355138728.00000006,,,,,,3044180000.0,,
1960-09-16,355138728.00000006,,,,,,3044180000.0,,
1960-09-17,355138728.00000006,,,,,,3044180000.0,,
1960-09-18,355138728.00000006,,,,,,3044180000.0,,
1960-09-19,355138728.00000006,,,,,,3044180000.0,,
1960-09-20,355138728.00000006,,,,,,3044180000.0,,
1960-09-21,355138728.00000006,,,,,,3044180000.0,,
1960-09-22,355138728.00000006,,,,,,3044180000.0,,
1960-09-23,355138728.00000006,,,,,,3044180000.0,,
1960-09-24,355138728.00000006,,,,,,3044180000.0,,
1960-09-25,355138728.00000006,,,,,,3044180000.0,,
1960-09-26,355138728.00000006,,,,,,3044180000.0,,
1960-09-27,355138728.00000006,,,,,,3044180000.0,,
1960-09-28,355138728.00000006,,,,,,3044180000.0,,
1960-09-29,355138728.00000006,,,,,,3044180000.0,,
1960-09-30,355138728.00000006,,,,,,3044180000.0,,
1960-10-01,355138728.00000006,,,,,,3044180000.0,,
1960-10-02,355138728.00000006,,,,,,3044180000.0,,
